场景路径,章节名称,scnbeventsAttachPropDescriptor,scnbeventsCameraClipDescriptor,scnbeventsChangeWorkEvent,scnbeventsSocketDescriptor,scnbeventsStopWorkEvent,scnbeventsVFXDurationEventDescriptor,scnbeventsVFXEventDescriptor,toolsAddIdleEventDescriptor,toolsAudioEventDescriptor,toolsChangeIdleAnimDescriptor,toolsDialogLineEventDescriptor,toolsLookAtAdvancedDescriptor,toolsLookAtDescriptor,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_cut_to_the_chase,0,0,0,1,0,0,0,0,0,0,2,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_soulkiller_do_you_have,0,0,0,1,0,0,0,0,0,0,1,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_02,0,0,0,0,0,0,0,0,0,0,1,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,0,0,0,0,0,0,0,0,0,0,3,0,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,0,0,2,1,0,0,0,0,0,0,5,0,0,5
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,0,0,1,0,0,0,0,0,0,0,3,0,0,4
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,0,0,1,0,0,0,0,0,0,2,3,0,0,4
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,2,0,3,6,0,0,2,0,0,2,5,0,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_36,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,0,0,0,2,0,0,0,0,0,1,1,0,2,1
base\quest\testgym\meethanako.scenesolution,q115_00b_shut_up_johnny,0,0,0,0,0,0,0,0,0,0,1,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,0,0,2,2,0,0,0,0,0,0,0,0,2,1
base\quest\testgym\meethanako.scenesolution,q115_00b_stopping_scenespots,1,0,3,1,0,0,0,0,0,0,0,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_go_one,0,0,0,1,0,0,0,0,0,0,2,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_how_is_that,0,0,0,1,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,2,0,0,0,0,0,3,0,0,1,0,0,0,2
base\quest\testgym\meethanako.scenesolution,q115_00b_my_brother,0,0,0,2,0,0,0,0,0,1,2,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_sitting_animation,0,1,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,TestSectionConOne,0,0,0,0,0,0,0,0,0,0,0,0,0,1
base\quest\testgym\meethanako.scenesolution,TestSectionConTwo,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,0,0,0,1,0,0,0,0,0,1,1,0,2,1
base\quest\testgym\meethanako.scenesolution,lookat_01,0,0,0,0,0,0,0,0,0,0,0,0,1,0
base\quest\testgym\meethanako.scenesolution,lookat_02,0,0,0,0,0,0,0,0,0,0,0,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_lookat_03,0,0,0,0,0,0,0,0,0,0,0,0,1,0
base\quest\testgym\meethanako.scenesolution,facial_animation_01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
base\quest\testgym\meethanako.scenesolution,facial_animation_02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
base\quest\testgym\meethanako.scenesolution,facial_animation_03,0,0,0,0,0,0,0,0,0,0,0,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_35,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_kill_brother,0,0,0,1,0,0,0,0,0,0,2,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,0,0,0,1,0,0,0,0,0,1,2,0,1,2
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,0,0,0,1,0,0,0,0,0,0,4,0,2,3
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,2,0,1,3,0,0,2,0,0,0,1,0,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,2,0,2,1,1,0,0,0,0,3,9,0,12,6
base\quest\testgym\meethanako.scenesolution,q115_00b_17,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_40,0,0,1,0,1,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_22,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,0,0,1,4,0,0,0,0,0,1,3,0,1,4
