场景路径,中断场景数,事件执行标签数,总节点数,演员数量,道具数量,参考点数量,外部工作点数,内部工作点数,动画总数,PlaySkAnim种类数,PlaySkAnim使用次数,ChangeIdleAnim种类数,ChangeIdleAnim使用次数,ChangeWorkEvent种类数,ChangeWorkEvent使用次数,StopWorkEvent种类数,StopWorkEvent使用次数
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,2,0,35,2,2,0,0,0,36,16,21,1,15,0,0,0,0
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,1,0,104,8,2,0,5,0,28,10,18,1,9,1,1,0,0
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,1,0,207,3,1,0,10,63,335,23,27,9,90,10,27,2,2
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,1,0,61,3,3,0,11,63,380,29,34,1,132,7,15,4,10
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,1,0,391,3,1,0,9,67,520,41,82,4,189,8,48,0,0
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,2,0,488,14,3,1,55,74,924,72,95,5,477,51,114,8,16
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,1,0,239,9,2,0,35,73,576,51,67,10,258,15,26,4,6
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,1,0,489,4,5,3,53,73,1290,117,216,12,681,59,168,4,6
base\quest\side_quests\sq004\scenes\sq004_00_chicken_test.scenesolution,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
