场景路径,段落名称,轨道总数,类型1轨道数,类型2轨道数,类型3轨道数,类型4轨道数,类型5轨道数,类型6轨道数,类型7轨道数,类型8轨道数,Clip总数,动画种类数,动画使用总次数
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_NEW_about_yorinobu,13,1,2,2,2,2,2,0,2,16,4,10
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_time,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_shock,7,1,1,1,1,1,1,0,1,5,3,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_conclusion,13,1,2,2,2,2,2,0,2,16,5,7
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_power,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_family,13,1,2,2,2,2,2,0,2,6,3,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_corporation,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_dont_know,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_family_answer,13,1,2,2,2,2,2,0,2,6,4,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_ym mo,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_cut_to_the_chase,7,1,1,1,1,1,1,0,1,5,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_common_section,7,1,1,1,1,1,1,0,1,14,7,8
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_soulkiller_do_you_have,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_waitress_bow,13,1,2,2,2,2,2,0,2,8,1,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_to_hanako,7,1,1,1,1,1,1,0,1,5,5,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_cheeky_move,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_block_door_anim,8,1,1,1,1,1,1,0,1,3,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_15,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_eye_glow,13,1,2,2,2,2,2,0,2,3,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_stop_anim,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_AV_sfx,8,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sitting_idle,13,1,2,2,2,2,2,0,2,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sitting_idle,13,1,2,2,2,2,2,0,2,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_player_cough,9,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_,13,1,2,2,2,2,2,0,2,3,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_pose_preview,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_17,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_18,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_19,7,1,1,1,1,1,1,0,1,2,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_we_delta,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_20,1,1,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_reminder_sit,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_reminder_help,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_reminder_dont_speak,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_22,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,lookat_01,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,lookat_02,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,facial_animation_01,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,facial_animation_02,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,facial_animation_03,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_lookat_03,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_23,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_24,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_24,1,1,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_25,7,1,1,1,1,1,1,0,1,2,1,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_player_bowing,7,1,1,1,1,1,1,0,1,2,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_26,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sama_faster,13,1,2,2,2,2,2,0,2,6,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_by_the_bar,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_27,8,1,1,1,1,1,1,0,1,2,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sit,7,1,1,1,1,1,1,0,1,3,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_28,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_28,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_29,1,1,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_30,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_31,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_32,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_33,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_hand_appear_elevator,5,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,13,1,2,2,2,2,2,0,2,2,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_35,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_hand_disappear_elevator,5,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_hand_disappear_drink,5,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_hand_appear_drink,5,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_36,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_37,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_38,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_39,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_40,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_41,7,1,1,1,1,1,1,0,1,1,2,2
